,V_COMMENTS,Counts,V_COMMENTS_2,Tokens,id_2_feature,TFIDF_Feature,Topic_tfidf_lda,All_Topic_tfidf_Probabilities,TF_tfidf_Topic_No, TF IDF Topic words,V_COMMENTS_PROCESSED,Cluster_label
194154,"customer created in host on  05/05/2016. customer is information incomplete in host and no casa with us. if customer wish to  maintain same gcif number,  branch has to comply to process of activation act mal/bkgops/admin/123/1 issued on 27/08/2020 . among others  stringent cdd/kyc will be performed. new cif form has to be completed by the customer and all original document/ passport/visa will be presented for further checking. no unique identifier provided in refinitive for further assessment on wp biodata. other than having same name there is no unique identifier or conclusive evidence on to justify that both are the same individual.",1,customer created host  customers information incomplete host casa us  customer wish maintain gcif number branch comply process activation act malbkgopsadmin issued  among others stringent cddkyc performed  new cif form completed customer original document passportvisa presented checking  unique identifier provided refinitive assessment wp biodata  name unique identifier conclusive evidence justify individual ,"['customer', 'create', 'host', 'customer', 'information', 'incomplete', 'host', 'casa_u', 'customer', 'wish_maintain_gcif', 'number', 'branch_comply_process', 'activation', 'act', 'malbkgopsadmin', 'issue', 'among_other', 'stringent_cddkyc_performe', 'new', 'cif_form_completed', 'customer', 'original', 'document_passportvisa_presente', 'checking', 'unique_identifier_provided', 'refinitive', 'assessment_wp_biodata', 'name', 'unique_identifier_conclusive', 'evidence', 'justify', 'individual']","[(4, 1), (9, 1), (17, 4), (20, 1), (91, 1), (181, 1), (216, 2), (575, 1), (687, 1), (688, 1), (689, 1), (690, 1), (691, 1), (692, 1), (695, 1), (782, 1), (783, 1), (784, 1), (787, 1), (788, 1), (789, 1), (791, 1), (793, 1), (795, 1), (796, 1), (1762, 1), (2873, 1), (2874, 1)]","[(4, 0.06935674989065435), (9, 0.058025598734092854), (17, 0.014347665750335057), (20, 0.12732480017729764), (91, 0.08574441599508284), (181, 0.09370482219871727), (216, 0.1862820585876498), (575, 0.170477096057309), (687, 0.22088365575024535), (688, 0.2201121335283825), (689, 0.15310044036004242), (690, 0.21965811581275468), (691, 0.21980873035572976), (692, 0.21847840133393898), (695, 0.22026493618458914), (782, 0.12064341619583446), (783, 0.22487469691871412), (784, 0.23577654757638083), (787, 0.10311046968478399), (788, 0.13668807873431396), (789, 0.23407052740795434), (791, 0.23454862271867868), (793, 0.23048611763582663), (795, 0.23479041460560915), (796, 0.24093409463922183), (1762, 0.1732859230853152), (2873, 0.25523804759196245), (2874, 0.24639348716204687)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.027443806), (1, 0.028615907), (2, 0.027408434), (3, 0.02756485), (4, 0.037820946), (5, 0.038436096), (6, 0.027852666), (7, 0.029847568), (8, 0.03805185), (9, 0.02740679), (10, 0.028321438), (11, 0.027406609), (12, 0.030827979), (13, 0.43008733), (14, 0.02783669), (15, 0.027408024), (16, 0.03003698), (17, 0.03156271), (18, 0.027408758), (19, 0.028654577)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",customer created in host on  . customer is information incomplete in host and no casa with us. if customer wish to  maintain same gcif number  branch has to comply to process of activation act malbkgopsadmin issued on  . among others  stringent cddkyc will be performed. new cif form has to be completed by the customer and all original document passportvisa will be presented for further checking. no unique identifier provided in refinitive for further assessment on wp biodata. other than having same name there is no unique identifier or conclusive evidence on to justify that both are the same individual.,0
194474,"false hit. watchperson is spouse of pep. based on the source link, the pep is born in year 1971 and have 2 children with watchperson. customer is yob is 1986 and worked as building and housekeeping supervisors at malaysia previously. it was highly unlikely that spouse of pep will need to work as building and housekeeping supervisors at malaysia and their age gap is quite huge (15 years).
(source: refer to rfi-gf-3470)
",1,watchperson spouse pep  based link pep born year children watchperson  customers yob worked building housekeeping supervisors malaysia previously  highly unlikely spouse pep need work building housekeeping supervisors malaysia age gap quite huge years  refer rfi gf,"['watchperson', 'spouse', 'pep', 'base', 'link', 'pep', 'bear', 'year', 'child', 'watchperson', 'customer', 'yob', 'worked_building_housekeeping', 'supervisor', 'malaysia', 'previously', 'highly', 'unlikely', 'spouse', 'pep', 'need', 'work_building_housekeeping', 'supervisor', 'malaysia', 'age', 'gap', 'quite', 'huge', 'year', 'refer', 'rfi', 'gf']","[(6, 2), (7, 1), (17, 1), (22, 2), (29, 1), (34, 1), (64, 1), (67, 3), (74, 1), (133, 2), (142, 2), (193, 1), (264, 1), (490, 1), (947, 1), (1002, 1), (1096, 1), (1453, 2), (1763, 1), (2800, 1), (6760, 1), (8631, 1), (14016, 1), (14394, 1), (17447, 1)]","[(6, 0.09175030761453958), (7, 0.06423872459414189), (17, 0.003964552111655159), (22, 0.0374233337773744), (29, 0.04881559727237111), (34, 0.03549117604349536), (64, 0.07352457018192986), (67, 0.25623524911434564), (74, 0.05509668378371663), (133, 0.2349514235416953), (142, 0.12022176735533197), (193, 0.10647592482809794), (264, 0.10746316654709323), (490, 0.10843330251502901), (947, 0.1316097390189383), (1002, 0.22379293518330656), (1096, 0.15107879445032543), (1453, 0.3425032900857577), (1763, 0.1294185003186376), (2800, 0.24835444286118843), (6760, 0.23337932853905466), (8631, 0.36140318825805445), (14016, 0.3156397642172339), (14394, 0.36677930173281287), (17447, 0.31432354371118265)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.030122517), (1, 0.02994038), (2, 0.029704442), (3, 0.06495049), (4, 0.029713014), (5, 0.031283505), (6, 0.050255258), (7, 0.02968552), (8, 0.031563647), (9, 0.07775278), (10, 0.029865574), (11, 0.04043682), (12, 0.059908155), (13, 0.17049432), (14, 0.13853994), (15, 0.03325028), (16, 0.032911487), (17, 0.029716652), (18, 0.029812837), (19, 0.030092405)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']", watchperson is spouse of pep. based on the  link the pep is born in year  and have  children with watchperson. customer is yob is  and worked as building and housekeeping supervisors at malaysia previously. it was highly unlikely that spouse of pep will need to work as building and housekeeping supervisors at malaysia and their age gap is quite huge  years.  refer to rfi gf  ,0
194594,"supersede the previous comment. 
mismatch age / year of birth (yob). watch person is a judicial commissioner of the high court (feb 2022 - ) while customer is only at the age of 25 years in 2022. hence, it is highly unlikely they are the same person.",1,supersede previous comment  mismatch age year birth yob  watch person judicial commissioner high court customer age years  hence highly unlikely person ,"['supersede_previous', 'comment', 'mismatch', 'age', 'year', 'birth', 'yob', 'watch', 'person', 'judicial', 'commissioner', 'high', 'court', 'customer', 'age', 'year', 'hence', 'highly', 'unlikely', 'person']","[(2, 1), (5, 1), (6, 2), (7, 1), (17, 1), (29, 1), (32, 2), (34, 1), (58, 1), (61, 1), (408, 1), (411, 1), (448, 1), (449, 1), (451, 1), (452, 1), (490, 2)]","[(2, 0.011157874365659801), (5, 0.09736844518509796), (6, 0.17344462753859868), (7, 0.12143677716694565), (17, 0.007494582658537331), (29, 0.09228092316105668), (32, 0.06488041521520627), (34, 0.0670924596311151), (58, 0.1191891696170409), (61, 0.0679166912417914), (408, 0.27503625924536557), (411, 0.20366232179156926), (448, 0.42956040341575186), (449, 0.507217684344791), (451, 0.19123063943780647), (452, 0.3819795246437925), (490, 0.4099642662019599)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.03295867), (1, 0.032810125), (2, 0.03254008), (3, 0.091926455), (4, 0.03544163), (5, 0.033518393), (6, 0.09259188), (7, 0.032541238), (8, 0.107742675), (9, 0.032539025), (10, 0.035083722), (11, 0.07700998), (12, 0.032900143), (13, 0.13377471), (14, 0.033896), (15, 0.032539602), (16, 0.03255385), (17, 0.032550726), (18, 0.03254177), (19, 0.03253937)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",supersede the previous comment.  mismatch age  year of birth yob. watch person is a judicial commissioner of the high court    while customer is only at the age of  years in . hence it is highly unlikely they are the same person.,0
194596,"supersede the previous comment. 
mismatch age / year of birth (yob). watch person is a judicial commissioner of the high court (feb 2022 - ) whereas customer is only at the age of 25 years in 2022. hence, it is highly unlikely thy are the same person.",1,supersede previous comment  mismatch age year birth yob  watch person judicial commissioner high court whereas customer age years  hence highly unlikely thy person ,"['supersede_previous', 'comment', 'mismatch', 'age', 'year', 'birth', 'yob', 'watch', 'person', 'judicial', 'commissioner', 'high', 'court', 'whereas', 'customer', 'age', 'year', 'hence', 'highly', 'unlikely', 'thy', 'person']","[(2, 1), (5, 1), (6, 2), (7, 1), (17, 1), (29, 1), (32, 2), (34, 1), (58, 1), (61, 1), (408, 1), (411, 1), (448, 1), (449, 1), (451, 1), (452, 1), (490, 2), (828, 1), (37123, 1)]","[(2, 0.008768519118186711), (5, 0.07651789625282807), (6, 0.1363030701617909), (7, 0.09543221830105059), (17, 0.005889687333858877), (29, 0.07251981985672733), (32, 0.05098687640374655), (34, 0.05272523203632745), (58, 0.093665915049584), (61, 0.05337296209665795), (408, 0.21613979673492548), (411, 0.16004992561843281), (448, 0.33757402945487325), (449, 0.39860172435242286), (451, 0.15028037267153085), (452, 0.30018215430918294), (490, 0.3221742231682406), (828, 0.14233318615416884), (37123, 0.6018026717740478)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.033760432), (1, 0.033598263), (2, 0.033739366), (3, 0.095685534), (4, 0.03542715), (5, 0.034038067), (6, 0.08411435), (7, 0.033623654), (8, 0.09684512), (9, 0.03337106), (10, 0.03557098), (11, 0.07208917), (12, 0.03372488), (13, 0.14199182), (14, 0.034480643), (15, 0.033632874), (16, 0.03353896), (17, 0.03336347), (18, 0.033813234), (19, 0.033591002)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",supersede the previous comment.  mismatch age  year of birth yob. watch person is a judicial commissioner of the high court    whereas customer is only at the age of  years in . hence it is highly unlikely thy are the same person.,0
195122,customer gcif number was created on 29/01/2009 as a managing directors and chief executives at setia becamex js company. other than having same name with watch person there is no information available on customer that we can use to make further analysis. other than having gcif number in host customer does not have any product or facility with the bank. if customer bearing the same passport no to open account with the bank the person has to produce all original supporting document. fresh cdd /ecdd and screening will be done by branch/ business.,1,customer gcif number created managing directors chief executives setia becamex js company  name watch person information available customer use make analysis  gcif number host customer product facility bank  customer bearing passport open account bank person produce original supporting document  fresh cdd ecdd screening done branch business ,"['customer', 'gcif', 'number', 'create', 'manage', 'director', 'chief', 'executive', 'setia', 'becamex', 'js', 'company', 'name', 'watch', 'person', 'information', 'available', 'customer', 'use', 'make', 'analysis', 'gcif', 'number', 'host', 'customer', 'product_facility', 'bank', 'customer', 'bear', 'passport', 'open', 'account', 'bank', 'person', 'produce_original_supporting', 'document', 'fresh_cdd_ecdd', 'screen', 'do', 'branch', 'business']","[(4, 2), (9, 1), (15, 2), (17, 4), (19, 1), (32, 2), (37, 1), (41, 1), (61, 1), (88, 1), (91, 1), (115, 1), (122, 2), (156, 1), (183, 1), (193, 1), (210, 1), (214, 1), (216, 1), (286, 1), (354, 1), (560, 1), (653, 1), (701, 1), (888, 1), (1762, 1), (2463, 1), (3501, 1), (3503, 1), (3505, 1), (3506, 1), (5556, 1), (11333, 1), (12145, 1)]","[(4, 0.1397470994987968), (9, 0.05845796647445836), (15, 0.14509349237734204), (17, 0.014454574906902657), (19, 0.1081106718854586), (32, 0.031283223644576294), (37, 0.12481733564826449), (41, 0.0934909150751973), (61, 0.032747217080365314), (88, 0.13777215285604988), (91, 0.08638332572116157), (115, 0.0499281582025986), (122, 0.24537065194272406), (156, 0.1452342053200928), (183, 0.07336256383177199), (193, 0.0970515828688991), (210, 0.07290580177304595), (214, 0.11404444349176819), (216, 0.0938350536080872), (286, 0.11273390299903319), (354, 0.11477356442653938), (560, 0.13030891842721878), (653, 0.15995998893777807), (701, 0.13229887717618075), (888, 0.10271395333006077), (1762, 0.1745771332517952), (2463, 0.24552238087954972), (3501, 0.2702637653887277), (3503, 0.2566758315095894), (3505, 0.2566758315095894), (3506, 0.28894880029549286), (5556, 0.27400794718814087), (11333, 0.3150467899049621), (12145, 0.340110906157677)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.027858377), (1, 0.028184295), (2, 0.027782116), (3, 0.037609465), (4, 0.04620149), (5, 0.031604543), (6, 0.028542126), (7, 0.048119016), (8, 0.053974554), (9, 0.056715705), (10, 0.039259356), (11, 0.027631849), (12, 0.051063247), (13, 0.2050336), (14, 0.09193797), (15, 0.027740106), (16, 0.035959415), (17, 0.052483607), (18, 0.053867184), (19, 0.028432036)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",customer gcif number was created on  as a managing directors and chief executives at setia becamex js company. other than having same name with watch person there is no information available on customer that we can use to make further analysis. other than having gcif number in host customer does not have any product or facility with the bank. if customer bearing the same passport no to open account with the bank the person has to produce all original supporting document. fresh cdd ecdd and screening will be done by branch business.,0
195566,"mismatch occupation
watchperson is a journalist and director of geo news karachi (reported nov 2010) whereas as per uco, customer is cif created on  03/08/2010 customer is a housewife/househusband. thus, it is highly unlikely they are the same person.
https://wc1-worldcheck.refinitiv.com/fsp/profile/v1/4397581/source/http%3a%2f%2ftheselongwars.blogspot.com%2f2010%2f11%2fabbas-brothers-depressing-tale.html",1,mismatch occupation watchperson journalist director geo news karachi reported whereas per uco customers cif created customer housewifehousehusband  thus highly unlikely person  worldcheckrefinitivcomfspprofilevhttpafftheselongwarsblogspotcomfffabbas brothers depressing talehtml,"['mismatch', 'occupation', 'watchperson', 'journalist', 'director', 'geo', 'news', 'karachi', 'report', 'whereas', 'per', 'uco', 'customer', 'cif', 'create', 'customer', 'thus', 'highly', 'unlikely', 'person', 'brother', 'depress', 'talehtml']","[(2, 1), (17, 2), (21, 1), (22, 1), (29, 1), (32, 1), (34, 1), (49, 1), (167, 1), (171, 1), (205, 1), (210, 1), (232, 1), (257, 1), (828, 1), (910, 1), (1762, 1), (2174, 1), (11427, 1), (22916, 1), (47517, 1), (47518, 1)]","[(2, 0.0066134455282522864), (17, 0.008884311212853472), (21, 0.08502183117086252), (22, 0.02096583261721072), (29, 0.05469633718952476), (32, 0.01922781516507891), (34, 0.039766743430311696), (49, 0.047204189191125824), (167, 0.06141863354028244), (171, 0.11919847125246501), (205, 0.15218446105769615), (210, 0.08962115265873818), (232, 0.09346724496310048), (257, 0.1251936875749277), (828, 0.1073513966047949), (910, 0.22583052618200636), (1762, 0.2146030018103228), (2174, 0.20055404603608584), (11427, 0.38727859465303555), (22916, 0.38727859465303555), (47517, 0.48098145125180797), (47518, 0.48098145125180797)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.03450623), (1, 0.034780357), (2, 0.03543065), (3, 0.037964936), (4, 0.034605373), (5, 0.03452337), (6, 0.119885474), (7, 0.035118714), (8, 0.038264677), (9, 0.03605668), (10, 0.07168355), (11, 0.036039274), (12, 0.06760871), (13, 0.16792712), (14, 0.03799857), (15, 0.035091903), (16, 0.037316076), (17, 0.03451041), (18, 0.035669286), (19, 0.03501865)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",mismatch occupation watchperson is a journalist and director of geo news karachi reported   whereas as per uco customer is cif created on   customer is a housewifehousehusband. thus it is highly unlikely they are the same person.  worldcheck.refinitiv.comfspprofilevhttpafftheselongwars.blogspot.comfffabbas brothers depressing tale.html,0
195690,an exceeds 7 years,1,exceeds years,"['exceed', 'year']","[(6, 1), (864, 1)]","[(6, 0.15128090687988963), (864, 0.9884908129130984)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.04203011), (1, 0.042029127), (2, 0.04203328), (3, 0.062294148), (4, 0.042027112), (5, 0.04202691), (6, 0.042026065), (7, 0.042032093), (8, 0.0420273), (9, 0.042030875), (10, 0.042954326), (11, 0.04202948), (12, 0.042030036), (13, 0.18024132), (14, 0.042028293), (15, 0.0420322), (16, 0.04202877), (17, 0.042032793), (18, 0.04203399), (19, 0.04203174)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",an exceeds  years,-1
195693,"full name and age mismatched - customer was born in 1987 and he is 22yo in 2009 while the watchperson is 52yo in 2009. (amlmy ar)
",1,full name age mismatched customer born yo watchperson yo  amlmy ar,"['full', 'name', 'age', 'mismatch', 'customer', 'bear', 'yo', 'watchperson', 'yo', 'amlmy_ar']","[(2, 1), (8, 1), (9, 1), (17, 1), (22, 1), (193, 1), (490, 1), (4543, 1), (4813, 2)]","[(2, 0.00826320122385518), (8, 0.12836658338383805), (9, 0.08978683990956565), (17, 0.005550272620644211), (22, 0.026195860085576502), (193, 0.1490636000454637), (490, 0.1518038792694636), (4543, 0.49368486427607444), (4813, 0.8280615404111604)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.03915353), (1, 0.042028446), (2, 0.03946689), (3, 0.062109493), (4, 0.039402746), (5, 0.038938135), (6, 0.038991768), (7, 0.039355673), (8, 0.039103214), (9, 0.03933695), (10, 0.03899556), (11, 0.059883054), (12, 0.03948971), (13, 0.18147676), (14, 0.039001737), (15, 0.03936032), (16, 0.03922281), (17, 0.06582761), (18, 0.039537586), (19, 0.03931799)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",full name and age mismatched customer was born in  and he is yo in  while the watchperson is yo in . amlmy ar ,0
195810,supersede the previous comment. mismatch year of birth (yob). watch person was born in 1983,1,supersede previous comment  mismatch year birth yob  watch person born,"['supersede_previous', 'comment', 'mismatch', 'year', 'birth', 'yob', 'watch', 'person', 'bear']","[(2, 1), (5, 1), (6, 1), (7, 1), (32, 1), (61, 1), (193, 1), (448, 1), (449, 1)]","[(2, 0.015475507263903322), (5, 0.13504598020698835), (6, 0.12028023911164858), (7, 0.16842775474654198), (32, 0.04499321752708295), (61, 0.09419762350859472), (193, 0.2791696296379073), (448, 0.5957823977481764), (449, 0.7034898136706053)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.037238207), (1, 0.036910143), (2, 0.03678124), (3, 0.13727152), (4, 0.039998878), (5, 0.037086446), (6, 0.036937002), (7, 0.036781073), (8, 0.03686183), (9, 0.036780648), (10, 0.03689868), (11, 0.036780678), (12, 0.037171036), (13, 0.19563906), (14, 0.036934536), (15, 0.036781088), (16, 0.03678806), (17, 0.03679754), (18, 0.03678136), (19, 0.036781006)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",supersede the previous comment. mismatch year of birth yob. watch person was born in ,0
197013,mismatch age/profile. watchperson represented the university of malaya (‘um’) in the kuala lumpur regional centre for arbitration in 2012 based of external search link (https://www.umlawreview.com/potmaotm-2/august-alumnus-of-the-month-lim-wei-jiet) while customer only 16 years old on 2012.,1,mismatch ageprofile  watchperson represented university malaya um kuala lumpur regional centre arbitration based external search link alumnus month lim wei jiet customer years old ,"['mismatch', 'ageprofile', 'watchperson', 'represent', 'university', 'malaya', 'um', 'kuala_lumpur', 'regional', 'centre', 'arbitration', 'base', 'external', 'search', 'link', 'alumnus', 'month', 'lim', 'wei_jiet', 'customer', 'year', 'old']","[(2, 1), (6, 1), (17, 1), (22, 1), (74, 1), (96, 1), (252, 1), (264, 1), (462, 1), (578, 1), (658, 1), (810, 1), (921, 1), (1926, 1), (1950, 1), (2232, 1), (2537, 1), (4845, 1), (10640, 1), (10738, 1), (29279, 1), (45033, 1)]","[(2, 0.006207521296839345), (6, 0.048246699325716645), (17, 0.004169502177491338), (22, 0.01967897851752591), (74, 0.05794494221261481), (96, 0.1517467939147301), (252, 0.10812981340692826), (264, 0.11301854391091759), (462, 0.13679204813445509), (578, 0.16151225890282936), (658, 0.23988538069696447), (810, 0.20791794687774323), (921, 0.23920402440073468), (1926, 0.27839141361924874), (1950, 0.14758598092346883), (2232, 0.20869321750206218), (2537, 0.12972628629543), (4845, 0.3924274973000523), (10640, 0.3072455070095469), (10738, 0.3670038111995376), (29279, 0.2977886895740686), (45033, 0.33489282093146927)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.030761132), (1, 0.058091078), (2, 0.031280056), (3, 0.047627047), (4, 0.030844562), (5, 0.043454092), (6, 0.04935978), (7, 0.031032003), (8, 0.03301583), (9, 0.09568314), (10, 0.0436823), (11, 0.030742412), (12, 0.03408907), (13, 0.14503641), (14, 0.10749917), (15, 0.03125055), (16, 0.063143805), (17, 0.030865666), (18, 0.031371806), (19, 0.031170078)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",mismatch ageprofile. watchperson represented the university of malaya um in the kuala lumpur regional centre for arbitration in  based of external search link   alumnus of the month lim wei jiet while customer only  years old on .,0
197020,"mismatch - nric 

customer : 961013016427
watchperson : 910830015555 (by further searching in uco system watchperson name : lim wei jiet. as per uco system our watchperson in declaration & cdd declare he is an ahli parlimen muar close associates with syed saddiq bin syed abdul rahman and as per worldcheck system under uid number : 6913268 our watchperson is member of the central executive committee of malaysian united democratic alliance (muda) which is syed saddiq as founding president for muda)

therefore, it is highly unlikely for our customer and watchperson to be the same person because both have different nric.",1,mismatch nric customer watchperson searching uco watchperson name lim wei jiet  per uco watchperson laration cdd lare ahli parlimen muar close associates syed saddiq syed ul rahman per worldcheck uid number watchperson member central executive committee malaysian united democratic alliance muda syed saddiq founding president muda therefore highly unlikely customer watchperson person different nric ,"['mismatch', 'nric', 'customer', 'watchperson', 'search', 'uco', 'watchperson', 'name', 'lim', 'wei_jiet', 'per', 'uco', 'watchperson', 'laration_cdd', 'lare', 'ahli_parlimen_muar', 'close', 'associate', 'sye', 'saddiq', 'syed', 'ul', 'rahman', 'per', 'worldcheck', 'uid', 'number', 'watchperson', 'member', 'central', 'executive', 'committee', 'malaysian', 'united_democratic_alliance', 'muda', 'syed', 'saddiq', 'found', 'president', 'muda', 'therefore', 'highly', 'unlikely', 'customer', 'watchperson', 'person', 'different', 'nric']","[(2, 1), (3, 2), (4, 1), (9, 1), (17, 2), (21, 2), (22, 5), (27, 1), (28, 1), (29, 1), (32, 1), (34, 1), (49, 2), (71, 1), (96, 1), (163, 1), (164, 1), (214, 1), (294, 1), (324, 1), (326, 1), (427, 1), (507, 1), (658, 1), (717, 1), (718, 1), (970, 2), (971, 1), (1767, 1), (2114, 1), (4659, 1), (7718, 1), (9100, 2), (11404, 1), (17958, 2), (45033, 1), (47720, 1)]","[(2, 0.003772318652194464), (3, 0.09557681320791644), (4, 0.048993879763912146), (9, 0.04098951020757435), (17, 0.0050676236398977835), (21, 0.09699314470783325), (22, 0.059794702400453495), (27, 0.07784116137711064), (28, 0.059228389062254236), (29, 0.031198867837547408), (32, 0.010967572875336425), (34, 0.022683006511257965), (49, 0.05385067211537404), (71, 0.05864381578531327), (96, 0.09221672125179996), (163, 0.12807792916664096), (164, 0.042698516976804234), (214, 0.07996559173274392), (294, 0.1201592750351624), (324, 0.09598272062499343), (326, 0.06446292305747783), (427, 0.09706016785886869), (507, 0.09767131630636595), (658, 0.14577865346232236), (717, 0.09993944196747248), (718, 0.11933604578187089), (970, 0.33491202967132266), (971, 0.18462882569162226), (1767, 0.12007117354509415), (2114, 0.12265533794114042), (4659, 0.1830909988738563), (7718, 0.14315331106090448), (9100, 0.49972963331726755), (11404, 0.22800247789199699), (17958, 0.4619576912526274), (45033, 0.20351479672394232), (47720, 0.21120116976860048)]","0.033*""external"" + 0.024*""record"" + 0.013*""new"" + 0.009*""create"" + 0.008*""child"" + 0.005*""comment"" + 0.005*""supersede_previous"" + 0.005*""eld"" + 0.004*""early"" + 0.004*""based""","[(0, 0.02970581), (1, 0.09216032), (2, 0.03013525), (3, 0.03169473), (4, 0.045381516), (5, 0.030374115), (6, 0.030570516), (7, 0.030450067), (8, 0.031201966), (9, 0.07551402), (10, 0.029454464), (11, 0.0439127), (12, 0.030233417), (13, 0.15678377), (14, 0.1159282), (15, 0.041725103), (16, 0.06322633), (17, 0.030778224), (18, 0.03071891), (19, 0.030050525)]",13,"['external', 'record', 'new', 'create', 'child', 'comment', 'supersede_previous', 'eld', 'early', 'based', 'hai', 'fitter', 'gap', 'clean', 'plumbers_pipe']",mismatch nric   customer   watchperson   by further searching in uco watchperson name  lim wei jiet. as per uco our watchperson in laration  cdd lare he is an ahli parlimen muar close associates with syed saddiq syed ul rahman and as per worldcheck under uid number   our watchperson is member of the central executive committee of malaysian united democratic alliance muda which is syed saddiq as founding president for muda  therefore it is highly unlikely for our customer and watchperson to be the same person because both have different nric.,0
